DOI,Name,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
https://doi.org/10.25976/vmt3-j060,Winnipeg River Basin Long-term Water Quality Monitoring Data,MA05PF0022,"WINNIPEG RIVER AT POINTE DU BOIS,",50.3006,-95.5556,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2020-01-08,11:30:00,,,,,,"Alkalinity, total",as CaCO3,,41.8,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2020-01-09,14:10:00,,,,,,"Alkalinity, total",as CaCO3,,306,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/nfat-9s96,Lower Saskatchewan - Nelson River Basin Long-term Water Quality Monitoring Data,MA05KH0001,SASKATCHEWAN RIVER ABOVE CARROT RIVER,53.8417,-101.3342,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2020-01-14,11:10:00,,,,,,"Alkalinity, total",as CaCO3,,175,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",49.0314,-98.2778,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2020-01-16,11:40:00,,,,,,"Alkalinity, total",as CaCO3,,318,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/at3g-hv09,East Interlake Watershed District Quarterly Sampling,GC,Grassmere Creek,49.97861479,-97.06841405,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2020-01-22,,,,,,Water Bottle,"Alkalinity, total",as CaCO3,,1440,mg/L,Actual,,,,,,,2320B,APHA,,,,,ALS Environmental - Winnipeg,
https://doi.org/10.25976/at3g-hv09,East Interlake Watershed District Quarterly Sampling,NC,Netley Creek,50.3266361,-97.04458706,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2020-01-22,,,,,,Water Bottle,"Alkalinity, total",as CaCO3,,467,mg/L,Actual,,,,,,,2320B,APHA,,,,,ALS Environmental - Winnipeg,
https://doi.org/10.25976/at3g-hv09,East Interlake Watershed District Quarterly Sampling,WaC,Wavey Creek,50.2659642,-96.97505856,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2020-01-22,,,,,,Water Bottle,"Alkalinity, total",as CaCO3,,427,mg/L,Actual,,,,,,,2320B,APHA,,,,,ALS Environmental - Winnipeg,
https://doi.org/10.25976/at3g-hv09,East Interlake Watershed District Quarterly Sampling,WBC,Washow Bay Creek,51.15596608,-97.01780677,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2020-01-22,,,,,,Water Bottle,"Alkalinity, total",as CaCO3,,337,mg/L,Actual,,,,,,,2320B,APHA,,,,,ALS Environmental - Winnipeg,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2020-02-05,11:30:00,,,,,,"Alkalinity, total",as CaCO3,,302,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/nfat-9s96,Lower Saskatchewan - Nelson River Basin Long-term Water Quality Monitoring Data,MA05KH0001,SASKATCHEWAN RIVER ABOVE CARROT RIVER,53.8417,-101.3342,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2020-02-12,08:45:00,,,,,,"Alkalinity, total",as CaCO3,,173,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/vmt3-j060,Winnipeg River Basin Long-term Water Quality Monitoring Data,MA05PF0022,"WINNIPEG RIVER AT POINTE DU BOIS,",50.3006,-95.5556,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2020-02-24,11:00:00,,,,,,"Alkalinity, total",as CaCO3,,44.1,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/nfat-9s96,Lower Saskatchewan - Nelson River Basin Long-term Water Quality Monitoring Data,MA05KH0001,SASKATCHEWAN RIVER ABOVE CARROT RIVER,53.8417,-101.3342,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2020-03-03,15:40:00,,,,,,"Alkalinity, total",as CaCO3,,166,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2020-03-10,11:55:00,,,,,,"Alkalinity, total",as CaCO3,,309,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2020-03-10,12:00:00,,,,,,"Alkalinity, total",as CaCO3,,311,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2020-03-10,12:05:00,,,,,,"Alkalinity, total",as CaCO3,,311,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/at3g-hv09,East Interlake Watershed District Quarterly Sampling,FLD,Fish Lake Drain,50.69717921,-96.99627691,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2020-04-21,,,,,,Water Bottle,"Alkalinity, total",as CaCO3,,134,mg/L,Actual,,,,,,,2320B,APHA,,,,,ALS Environmental - Winnipeg,
https://doi.org/10.25976/at3g-hv09,East Interlake Watershed District Quarterly Sampling,GC,Grassmere Creek,49.97861479,-97.06841405,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2020-04-21,,,,,,Water Bottle,"Alkalinity, total",as CaCO3,,151,mg/L,Actual,,,,,,,2320B,APHA,,,,,ALS Environmental - Winnipeg,
https://doi.org/10.25976/at3g-hv09,East Interlake Watershed District Quarterly Sampling,NC,Netley Creek,50.3266361,-97.04458706,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2020-04-21,,,,,,Water Bottle,"Alkalinity, total",as CaCO3,,844,mg/L,Actual,,,,,,,2320B,APHA,,,,,ALS Environmental - Winnipeg,
